№;Страна;x1;x2;x3;x4;x5;x6
1;Израиль;80;80;71;88;81;85
2;Греция;80;82;57;90;92;79
3;Словакия;76;72;47;85;78;93
4;Эстония;79;64;46;72;79;85
5;Венгрия;83;69;43;88;88;90
6;Португалия;90;80;47;92;93;87
7;Польша;82;72;67;87;91;89
8;Чили;81;73;68;90;93;83
9;Латвия;79;63;33;79;80;78
10;Хорватия;78;77;48;83;74;90
11;Болгария;73;67;29;77;77;81
12;Тринидад и Тобаго;76;82;40;97;93;85
13;Сербия;73;73;35;84;77;82
14;Белоруссия;66;55;34;70;71;88
15;Перу;74;72;54;96;89;79
16;Албания;72;75;43;78;68;79
17;Россия;74;56;36;79;83;88
18;Казахстан;82;68;51;88;81;88
19;Азербайджан;73;68;42;87;79;72
20;Босния и Герцеговина;76;75;39;80;67;74
21;Украина;71;55;23;74;78;81
22;Иран;71;82;55;87;81;62
23;Югославия;71;82;34;93;81;78
24;Грузия;63;50;22;86;83;54
25;Армения;61;53;31;93;89;67
26;Эквадор;80;76;57;98;93;78
27;Гайана;79;83;69;90;75;83
28;Ямайка;82;88;50;98;80;91
29;Турция;71;76;44;85;68;64
30;Доминиканская Республика;69;80;57;96;92;84
31;Сальвадор;82;80;60;97;89;72
32;Шри-Ланка;86;77;58;91;76;82
33;Таиланд;91;79;63;95;75;82
34;Боливия;83;79;67;94;90;82
35;Парагвай;85;84;63;93;96;89
36;Филиппины;83;77;68;96;94;77
37;Ботсвана;58;67;41;92;83;83
38;Молдова;68;60;39;79;73;83
39;Гана;84;87;64;95;77;84
40;Намибия;84;87;61;98;86;83
41;Гондурас;84;83;65;95;91;81
42;Индонезия;63;83;62;95;92;78
43;Киргизия;78;74;48;91;86;85
44;ЮАР;66;79;42;97;83;88
45;Таджикистан;78;75;69;91;76;65
46;Вьетнам;72;79;59;98;92;79
47;Марокко;69;88;71;90;89;85
48;Никарагуа;80;80;62;98;91;83
49;Индия;74;85;61;91;72;66
50;Камбоджи;80;69;51;81;87;82
51;Кения;57;70;25;98;78;79
52;Бангладеш;76;73;63;94;87;53
53;Гана;54;66;34;98;88;63
54;Камерун;63;69;40;93;85;73
55;Йемен;74;80;53;88;84;75
56;Мадагаскар;46;76;24;96;77;77
57;Мавритания;57;79;47;93;85;81
58;Нигерия;65;80;40;92;81;72
59;Уганда;53;64;35;96;79;85
60;Сенегал;39;68;27;89;85;81
61;Гаити;51;51;35;81;66;64
62;Ангола;72;67;54;90;83;58
63;Танзания;45;67;21;95;74;76
64;Замбия;48;78;34;93;83;62
65;Руанда;41;64;37;88;77;56
66;Малави;62;77;64;99;88;72
67;Судан;65;77;64;97;89;89
68;Афганистан;71;79;53;83;64;54
69;Гвинея;68;75;27;96;86;58
70;Эфиопия;50;79;33;89;74;76
71;Сьерра Леон;49;47;19;98;81;59
72;"Центрально-Африканская 
республика";78;81;31;96;74;56
73;Мали;30;71;30;99;86;75
74;Буркина Фасо;46;70;27;94;83;73
75;Либерия;47;70;46;100;82;58
76;Чад;78;69;52;93;79;57
77;Мозамбик;74;82;46;93;89;75
78;Нигер;54;82;52;99;93;77
79;Конго;60;74;40;98;79;67
80;Зимбабве;49;72;27;91;81;81
